subID,group,day,time_point,thigmotaxis,median_velocity,path_length,search_area,n_stops,median_stop_duration,median_inter_stop_interval,time_in_homebase,hb_stop_distance,hb_close_stops,time2hb,n_home_bases
104,tg,3,12,462.444444444444,8.46159060433036,1515.23418414446,0.44,35,5.88888888888886,9.72222222222223,95.4444444444444,21.9199084004817,22,172,5
104,tg,3,4,387.666666666667,10.6866168804583,2148.45419105525,0.594285714285714,24,4.77777777777777,11.6666666666667,259.333333333333,29.5206171497034,11,23.36,2
104,tg,3,7,461.333333333333,9.31183153790224,1970.31703809342,0.514285714285714,40,7.16666666666669,10.4444444444444,124.666666666667,30.4193823091929,15,6.896,5
105,tg,1,12,523.222222222222,5.28735852807424,259.96840045522,0.139047619047619,23,9.22222222222217,15.3888888888889,392.555555555556,7.08274252744538,21,47.919,1
105,tg,1,4,528.444444444444,5.85825670887969,330.799847546321,0.100952380952381,24,5.99999999999999,11.7777777777778,426.555555555556,8.77430278378045,24,25.476,1
105,tg,1,7,534.666666666667,4.88776114147917,251.467886389148,0.123809523809524,33,8.33333333333331,12.2222222222222,132.666666666667,11.5946666402217,31,153.999,5
105,tg,2,12,569.444444444444,6.16332155341972,237.574862979407,0.127619047619048,32,7,13.7777777777778,339.555555555556,23.882668408225,18,183.138,1
105,tg,2,4,539.666666666667,5.88343560786947,442.67571020737,0.220952380952381,18,4.55555555555557,12.1111111111111,231.555555555556,25.4046112072853,9,117.646,4
105,tg,2,7,569.777777777778,5.20078367185281,318.465997357649,0.140952380952381,25,7.33333333333331,12.4444444444444,163.666666666667,33.8655223913303,7,410.006,4
105,tg,3,12,551.888888888889,5.29572239723058,512.309585975808,0.194285714285714,23,12.3333333333333,18.3888888888889,185.111111111111,18.0404737005878,14,181.502,5
105,tg,3,4,530.555555555556,7.05254024271518,869.384633403196,0.329523809523809,26,9.55555555555555,12.4444444444445,213.444444444444,31.6171832179698,12,14.594,1
105,tg,3,7,556.777777777778,6.98377703825957,617.022629695641,0.32,20,6.05555555555554,13.6666666666667,187.222222222222,46.6588349372602,3,385.212,3
106,tg,1,12,574.555555555556,7.15989043556188,280.607373605901,0.0990476190476191,11,6.33333333333333,18.5555555555556,513.777777777778,7.71229624569608,11,74.013,1
106,tg,1,4,411.555555555556,7.79995731880561,1239.48994018552,0.516190476190476,17,4.55555555555554,13.1666666666667,208.444444444444,27.5961680982326,8,108.22,2
106,tg,1,7,546.222222222222,6.74473654220481,689.532146831116,0.228571428571429,19,6.66666666666669,12.6111111111111,372.333333333333,18.4942957551488,13,95.766,1
106,tg,2,12,554.111111111111,8.61578676574483,496.333016500331,0.241904761904762,18,7.44444444444444,21.6666666666667,220.555555555556,28.772942809698,8,284.843,4
106,tg,2,4,307.666666666667,7.81239812331203,1796.94116751458,0.620952380952381,32,3.22222222222221,9.44444444444444,204.888888888889,24.7893777888525,17,108.406,2
106,tg,2,7,543.888888888889,10.728884429843,2224.34817795579,0.500952380952381,45,6.33333333333331,9.27777777777778,68.4444444444444,41.0899212046197,13,31.033,15
106,tg,3,12,572.444444444444,6.45856164236502,346.651758397369,0.163809523809524,20,6.61111111111109,11.8888888888889,176.777777777778,29.9349886503733,10,259.409,4
106,tg,3,4,399.888888888889,9.20311346819182,2076.48044075792,0.598095238095238,35,5.77777777777771,8.38888888888886,111.888888888889,30.115879775061,15,79.546,3
106,tg,3,7,559.444444444444,9.44544863117364,964.205699130109,0.293333333333333,22,8.00000000000001,12.5555555555555,202.666666666667,34.6374072414464,6,313.858,1
107,tg,1,12,521.666666666667,12.4262746074253,2782.33234056867,0.539047619047619,49,4.4444444444444,6.83333333333333,191.444444444444,23.5561564722792,28,12.589,5
107,tg,1,4,310.111111111111,9.57301756230871,3054.31503345372,0.723809523809524,39,3.22222222222223,7.99999999999999,96.2222222222222,26.5374220771511,19,116.004,2
107,tg,1,7,423,12.0629863181613,2917.8632671711,0.676190476190476,50,2.55555555555558,5.88888888888889,197.444444444444,36.6695712737779,13,92.585,1
107,tg,2,12,517.777777777778,10.8909185103915,2313.60576111166,0.531428571428571,44,3.55555555555555,7.55555555555554,109.777777777778,37.3768718278269,13,95.399,7
